"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14874-8718","LW","Alexander","Ovechkin","5.388524590163934","61","10600","WAS@BOS","WAS","BOS","","","",""
"14874-9416","G","Braden","Holtby","5.357692307692308","52","9400","WAS@BOS","WAS","BOS","","","",""
"14874-8883","G","Ben","Bishop","4.845833333333334","48","9300","CAR@TB","TB","CAR","","","",""
"14874-8193","G","Tuukka","Rask","4.763999999999999","50","9100","WAS@BOS","BOS","WAS","","","",""
"14874-8712","G","Roberto","Luongo","4.956","50","8900","FLA@ARI","FLA","ARI","","","",""
"14874-9278","G","Martin","Jones","4.666666666666667","54","8700","VAN@SJ","SJ","VAN","","","",""
"14874-9302","G","Michal","Neuvirth","4.966666666666667","30","8600","CLS@PHI","PHI","CLS","","","",""
"14874-8655","C","Steven","Stamkos","3.434375","64","8600","CAR@TB","TB","CAR","","","",""
"14874-8292","G","Craig","Anderson","4.892307692307693","52","8500","OTT@TOR","OTT","TOR","DTD","Lower body","",""
"14874-8212","G","Ryan","Miller","4.10952380952381","42","8300","VAN@SJ","VAN","SJ","","","",""
"14874-8763","LW","Brad","Marchand","4.253333333333333","60","8200","WAS@BOS","BOS","WAS","","","",""
"14874-54565","G","Andrei","Vasilevskii","4.5888888888888895","18","8200","CAR@TB","TB","CAR","","","",""
"14874-54065","G","Joonas","Korpisalo","4.641666666666667","24","8200","CLS@PHI","CLS","PHI","","","",""
"14874-12163","G","Sergei","Bobrovsky","3.896296296296297","27","8000","CLS@PHI","CLS","PHI","IR","Groin","",""
"14874-8556","C","Claude","Giroux","3.504166666666667","60","8000","CLS@PHI","PHI","CLS","","","",""
"14874-8615","RW","Joe","Pavelski","4.123809523809524","63","7900","VAN@SJ","SJ","VAN","","","",""
"14874-8312","G","Steve","Mason","4.172972972972973","37","7800","CLS@PHI","PHI","CLS","","","",""
"14874-8175","C","Patrice","Bergeron","4.067460317460317","63","7700","WAS@BOS","BOS","WAS","","","",""
"14874-12697","G","Philipp","Grubauer","3.9625000000000004","16","7700","WAS@BOS","WAS","BOS","","","",""
"14874-8698","LW","Daniel","Sedin","3.9365079365079363","63","7600","VAN@SJ","VAN","SJ","","","",""
"14874-8303","RW","Jakub","Voracek","3.1883333333333335","60","7500","CLS@PHI","PHI","CLS","O","Lower body","",""
"14874-8426","D","Brent","Burns","4.087301587301587","63","7500","VAN@SJ","SJ","VAN","","","",""
"14874-8404","RW","Wayne","Simmonds","3.2992063492063495","63","7400","CLS@PHI","PHI","CLS","","","",""
"14874-8593","G","Al","Montoya","4.2444444444444445","18","7400","FLA@ARI","FLA","ARI","","","",""
"14874-52475","C","Evgeny","Kuznetsov","3.9952380952380953","63","7200","WAS@BOS","WAS","BOS","","","",""
"14874-62666","G","Matthew","O'Connor","3.2","1","7200","OTT@TOR","OTT","TOR","","","",""
"14874-39844","G","Mike","Condon","3.3116279069767445","43","7200","MON@WPG","MON","WPG","","","",""
"14874-8797","LW","James","van Riemsdyk","3.315","40","7100","OTT@TOR","TOR","OTT","IR","Foot","",""
"14874-8264","D","Dustin","Byfuglien","3.3674603174603175","63","7100","MON@WPG","WPG","MON","","","",""
"14874-9269","C","Logan","Couture","3.254545454545455","33","7100","VAN@SJ","SJ","VAN","","","",""
"14874-11370","G","Eddie","Lack","3.5111111111111115","27","7100","CAR@TB","CAR","TB","","","",""
"14874-8551","D","Erik","Karlsson","3.806153846153846","65","7100","OTT@TOR","OTT","TOR","","","",""
"14874-8672","G","Mike","Smith","3.6727272727272733","22","7100","FLA@ARI","ARI","FLA","IR","Lower body","",""
"14874-11184","G","Richard","Bachman","5.6000000000000005","1","7000","VAN@SJ","VAN","SJ","","","",""
"14874-12093","G","Ben","Scrivens","3.2","10","7000","MON@WPG","MON","WPG","","","",""
"14874-8182","RW","Blake","Wheeler","3.632539682539683","63","7000","MON@WPG","WPG","MON","","","",""
"14874-38930","G","Andrew","Hammond","2.973333333333334","15","6900","OTT@TOR","OTT","TOR","","","",""
"14874-8252","G","Cam","Ward","3.5619047619047626","42","6900","CAR@TB","CAR","TB","","","",""
"14874-14483","G","Louis","Domingue","3.903225806451613","31","6900","FLA@ARI","ARI","FLA","","","",""
"14874-12283","G","Jacob","Markstrom","3.9130434782608696","23","6800","VAN@SJ","VAN","SJ","","","",""
"14874-8441","LW","Max","Pacioretty","3.2523076923076926","65","6800","MON@WPG","MON","WPG","","","",""
"14874-8776","G","Ondrej","Pavelec","3.0200000000000005","20","6700","MON@WPG","WPG","MON","","","",""
"14874-8714","C","Nicklas","Backstrom","3.606666666666667","60","6700","WAS@BOS","WAS","BOS","","","",""
"14874-9266","LW","Brayden","Schenn","2.902459016393443","61","6700","CLS@PHI","PHI","CLS","DTD","Head","",""
"14874-8693","G","Jonas","Gustavsson","3.926315789473685","19","6700","WAS@BOS","BOS","WAS","","","",""
"14874-8614","C","Joe","Thornton","3.4825396825396826","63","6700","VAN@SJ","SJ","VAN","","","",""
"14874-9052","G","James","Reimer","3.96875","32","6600","VAN@SJ","SJ","VAN","","","",""
"14874-8780","G","Jonathan","Bernier","3.0206896551724136","29","6500","OTT@TOR","TOR","OTT","","","",""
"14874-15258","G","Garret","Sparks","4.114285714285715","7","6500","OTT@TOR","TOR","OTT","","","",""
"14874-15283","C","Vincent","Trocheck","2.734375","64","6500","FLA@ARI","FLA","ARI","","","",""
"14874-38243","G","Anthony","Stolarz","0","0","6500","CLS@PHI","PHI","CLS","","","",""
"14874-68599","G","Nathan","Schoenfeld","0","0","6500","FLA@ARI","ARI","FLA","","","",""
"14874-13612","C","Tyler","Johnson","2.4823529411764707","51","6500","CAR@TB","TB","CAR","","","",""
"14874-66613","G","Niklas","Treutle","-1","2","6500","FLA@ARI","ARI","FLA","","","",""
"14874-43214","RW","Nikita","Kucherov","3.414516129032258","62","6500","CAR@TB","TB","CAR","","","",""
"14874-51834","G","Daniel","Altshuller","0","0","6500","CAR@TB","CAR","TB","","","",""
"14874-15321","C","Mark","Scheifele","3.269230769230769","52","6400","MON@WPG","WPG","MON","","","",""
"14874-14126","G","Allan","York","0","0","6400","CAR@TB","TB","CAR","","","",""
"14874-40023","G","Anton","Forsberg","2.9000000000000004","4","6400","CLS@PHI","CLS","PHI","","","",""
"14874-12240","G","Edward","Pasquale","0","0","6400","MON@WPG","MON","WPG","","","",""
"14874-8233","G","Curtis","McElhinney","2.011764705882353","17","6400","CLS@PHI","CLS","PHI","","","",""
"14874-58909","G","Connor","Hellebuyck","4.323076923076924","26","6300","MON@WPG","WPG","MON","","","",""
"14874-43219","G","Kristers","Gudlevskis","5.2","1","6300","CAR@TB","TB","CAR","","","",""
"14874-9252","G","Alex","Stalock","2.030769230769231","13","6200","OTT@TOR","TOR","OTT","","","",""
"14874-11294","G","Michael","Hutchinson","3.1","24","6200","MON@WPG","WPG","MON","","","",""
"14874-41393","C","Aleksander","Barkov","3.4812499999999997","48","6200","FLA@ARI","FLA","ARI","","","",""
"14874-8741","C","Nazem","Kadri","2.8959016393442623","61","6100","OTT@TOR","TOR","OTT","","","",""
"14874-15251","LW","Boone","Jenner","2.7789062500000004","64","6100","CLS@PHI","CLS","PHI","","","",""
"14874-9107","D","P.K.","Subban","3.23","65","6100","MON@WPG","MON","WPG","","","",""
"14874-8241","LW","Jussi","Jokinen","2.809375","64","6100","FLA@ARI","FLA","ARI","","","",""
"14874-15315","LW","Ondrej","Palat","2.0977272727272727","44","6000","CAR@TB","TB","CAR","","","",""
"14874-15217","RW","Jonathan","Huberdeau","2.840677966101695","59","6000","FLA@ARI","FLA","ARI","IR","Upper body","",""
"14874-9058","LW","Matt","Beleskey","2.519047619047619","63","6000","WAS@BOS","BOS","WAS","","","",""
"14874-12244","D","Oliver","Ekman-Larsson","3.3171875","64","6000","FLA@ARI","ARI","FLA","","","",""
"14874-8539","LW","Nick","Foligno","2.450909090909091","55","6000","CLS@PHI","CLS","PHI","","","",""
"14874-15306","RW","Brendan","Gallagher","3.5541666666666667","48","5900","MON@WPG","MON","WPG","","","",""
"14874-12628","RW","Mark","Stone","2.815873015873016","63","5900","OTT@TOR","OTT","TOR","","","",""
"14874-8669","D","Victor","Hedman","2.688888888888889","63","5900","CAR@TB","TB","CAR","","","",""
"14874-8694","C","Henrik","Sedin","2.764912280701754","57","5900","VAN@SJ","VAN","SJ","","","",""
"14874-21648","D","Torey","Krug","2.56328125","64","5800","WAS@BOS","BOS","WAS","","","",""
"14874-12252","G","Anders","Lindback","2.4842105263157896","19","5800","FLA@ARI","ARI","FLA","IR","Achilles","",""
"14874-21523","LW","Alex","Killorn","2.242857142857143","63","5800","CAR@TB","TB","CAR","","","",""
"14874-8515","C","Brandon","Dubinsky","2.6517543859649124","57","5800","CLS@PHI","CLS","PHI","","","",""
"14874-8520","RW","Ryan","Callahan","2.1126984126984127","63","5800","CAR@TB","TB","CAR","","","",""
"14874-14561","RW","Jaromir","Jagr","3.1295081967213116","61","5800","FLA@ARI","FLA","ARI","","","",""
"14874-41592","LW","Max","Domi","2.6453125","64","5700","FLA@ARI","ARI","FLA","","","",""
"14874-14056","RW","Cam","Atkinson","2.761904761904762","63","5700","CLS@PHI","CLS","PHI","","","",""
"14874-8436","C","Tomas","Plekanec","2.772307692307692","65","5700","MON@WPG","MON","WPG","","","",""
"14874-12439","LW","Jeff","Skinner","2.74","65","5700","CAR@TB","CAR","TB","","","",""
"14874-15280","RW","Brandon","Saad","2.8142857142857145","63","5600","CLS@PHI","CLS","PHI","","","",""
"14874-8562","RW","Scott","Hartnell","2.8419354838709676","62","5600","CLS@PHI","CLS","PHI","","","",""
"14874-8176","C","David","Krejci","3.241818181818182","55","5500","WAS@BOS","BOS","WAS","","","",""
"14874-8635","RW","T.J.","Oshie","2.8904761904761904","63","5500","WAS@BOS","WAS","BOS","","","",""
"14874-8811","RW","Jannik","Hansen","2.5596491228070177","57","5400","VAN@SJ","VAN","SJ","O","Ribs","",""
"14874-14178","D","Justin","Faulk","2.715454545454546","55","5400","CAR@TB","CAR","TB","DTD","Leg","",""
"14874-12494","RW","Jiri","Hudler","2.178703703703704","54","5400","FLA@ARI","FLA","ARI","DTD","Personal","",""
"14874-8596","C","Jordan","Staal","2.3953846153846152","65","5400","CAR@TB","CAR","TB","","","",""
"14874-40036","LW","Tomas","Hertl","2.717741935483871","62","5300","VAN@SJ","SJ","VAN","","","",""
"14874-9259","LW","Mike","Hoffman","3.2540983606557377","61","5300","OTT@TOR","OTT","TOR","","","",""
"14874-14565","C","Mika","Zibanejad","2.3921875","64","5300","OTT@TOR","OTT","TOR","","","",""
"14874-8628","D","Marc-Edouard","Vlasic","2.4575","60","5300","VAN@SJ","SJ","VAN","","","",""
"14874-12220","C","Marcus","Johansson","2.7072727272727275","55","5200","WAS@BOS","WAS","BOS","","","",""
"14874-39249","C","Nick","Bjugstad","2.21530612244898","49","5200","FLA@ARI","FLA","ARI","","","",""
"14874-8162","C","Bryan","Little","2.592982456140351","57","5200","MON@WPG","WPG","MON","O","Back","",""
"14874-8403","RW","Justin","Williams","3.16031746031746","63","5200","WAS@BOS","WAS","BOS","","","",""
"14874-8619","LW","Patrick","Marleau","2.5047619047619047","63","5200","VAN@SJ","SJ","VAN","","","",""
"14874-15287","C","Jean-Gabriel","Pageau","2.0446153846153847","65","5100","OTT@TOR","OTT","TOR","","","",""
"14874-8932","LW","Zack","Smith","1.8890625","64","5100","OTT@TOR","OTT","TOR","","","",""
"14874-9015","D","John","Carlson","2.7468085106382976","47","5100","WAS@BOS","WAS","BOS","IR","Lower body","",""
"14874-12667","C","Ryan","Spooner","2.59765625","64","5100","WAS@BOS","BOS","WAS","","","",""
"14874-8578","RW","Shane","Doan","3.2336363636363634","55","5100","FLA@ARI","ARI","FLA","","","",""
"14874-23233","LW","Alex","Galchenyuk","2.5307692307692307","65","5100","MON@WPG","MON","WPG","","","",""
"14874-8918","D","Anton","Stralman","2.1875","64","5000","CAR@TB","TB","CAR","","","",""
"14874-15308","C","Sean","Couturier","2.3288888888888892","45","4900","CLS@PHI","PHI","CLS","","","",""
"14874-54521","D","Shayne","Gostisbehere","3.1133333333333333","45","4900","CLS@PHI","PHI","CLS","","","",""
