"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14876-8612","G","Marc-Andre","Fleury","5.033333333333334","48","9800","PIT@NJ","PIT","NJ","","","",""
"14876-8273","G","Corey","Crawford","5.584905660377358","53","9700","DET@CHI","CHI","DET","","","",""
"14876-8532","G","Henrik","Lundqvist","5.083018867924529","53","9700","NYI@NYR","NYR","NYI","DTD","Neck","",""
"14876-8594","C","Sidney","Crosby","4.057142857142858","63","9500","PIT@NJ","PIT","NJ","","","",""
"14876-8595","C","Evgeni","Malkin","4.091666666666667","54","9300","PIT@NJ","PIT","NJ","","","",""
"14876-8633","G","Thomas","Greiss","5.457142857142857","28","9000","NYI@NYR","NYI","NYR","","","",""
"14876-9112","G","Jake","Allen","4.7368421052631575","38","9000","STL@MIN","STL","MIN","","","",""
"14876-15400","G","Petr","Mrazek","4.904545454545455","44","8900","DET@CHI","DET","CHI","","","",""
"14876-8262","RW","Patrick","Kane","5.275757575757575","66","8800","DET@CHI","CHI","DET","","","",""
"14876-8553","G","Brian","Elliott","4.676470588235294","34","8800","STL@MIN","STL","MIN","IR","Lower body","",""
"14876-8494","C","John","Tavares","3.652542372881356","59","8600","NYI@NYR","NYI","NYR","","","",""
"14876-8292","G","Craig","Anderson","4.892307692307693","52","8500","DAL@OTT","OTT","DAL","DTD","Lower body","",""
"14876-8302","LW","Rick","Nash","3.413333333333333","45","8300","NYI@NYR","NYR","NYI","O","Knee","",""
"14876-8453","G","Jaroslav","Halak","4.3882352941176475","34","8300","NYI@NYR","NYI","NYR","","","",""
"14876-11301","G","Cameron","Talbot","4.077272727272727","44","8200","EDM@WPG","EDM","WPG","","","",""
"14876-8986","LW","Jamie","Benn","4.3545454545454545","66","8200","DAL@OTT","DAL","OTT","","","",""
"14876-40050","G","Antti","Raanta","3.411764705882353","17","8100","NYI@NYR","NYR","NYI","","","",""
"14876-8958","G","Jeff","Zatkoff","3.8769230769230774","13","8000","PIT@NJ","PIT","NJ","","","",""
"14876-8254","C","Jonathan","Toews","3.1846153846153844","65","7900","DET@CHI","CHI","DET","","","",""
"14876-8920","G","Devan","Dubnyk","4.4653846153846155","52","7900","STL@MIN","MIN","STL","","","",""
"14876-8781","G","Cory","Schneider","4.556363636363637","55","7800","PIT@NJ","NJ","PIT","DTD","Undisclosed","",""
"14876-23071","RW","Vladimir","Tarasenko","3.97109375","64","7800","STL@MIN","STL","MIN","","","",""
"14876-14466","G","Darcy","Kuemper","3.858823529411765","17","7800","STL@MIN","MIN","STL","","","",""
"14876-42709","G","Scott","Darling","3.5529411764705885","17","7800","DET@CHI","CHI","DET","","","",""
"14876-8608","D","Kris","Letang","3.5925925925925926","54","7700","PIT@NJ","PIT","NJ","","","",""
"14876-8172","G","Kari","Lehtonen","3.9750000000000005","32","7600","DAL@OTT","DAL","OTT","","","",""
"14876-8438","LW","Michael","Cammalleri","3.6880952380952383","42","7600","PIT@NJ","NJ","PIT","IR","Hand","",""
"14876-8478","LW","Zach","Parise","3.270909090909091","55","7600","STL@MIN","MIN","STL","","","",""
"14876-8765","RW","Patric","Hornqvist","3.184375","64","7400","PIT@NJ","PIT","NJ","","","",""
"14876-64102","C","Connor","McDavid","3.703333333333333","30","7200","EDM@WPG","EDM","WPG","","","",""
"14876-62666","G","Matthew","O'Connor","3.2","1","7200","DAL@OTT","OTT","DAL","","","",""
"14876-8682","RW","Phil","Kessel","3.0421875","64","7200","PIT@NJ","PIT","NJ","","","",""
"14876-8264","D","Dustin","Byfuglien","3.3960937500000004","64","7100","EDM@WPG","WPG","EDM","","","",""
"14876-8353","G","Jimmy","Howard","3.4640000000000004","25","7100","DET@CHI","DET","CHI","","","",""
"14876-8551","D","Erik","Karlsson","3.772727272727273","66","7100","DAL@OTT","OTT","DAL","","","",""
"14876-12417","C","Tyler","Seguin","4.348484848484849","66","7100","DAL@OTT","DAL","OTT","","","",""
"14876-8182","RW","Blake","Wheeler","3.6382812500000004","64","7000","EDM@WPG","WPG","EDM","","","",""
"14876-8294","C","Derick","Brassard","3.13125","64","6900","NYI@NYR","NYR","NYI","","","",""
"14876-38930","G","Andrew","Hammond","3.3625000000000007","16","6900","DAL@OTT","OTT","DAL","","","",""
"14876-9288","G","Antti","Niemi","3.842857142857143","42","6800","DAL@OTT","DAL","OTT","","","",""
"14876-14183","G","Keith","Kinkaid","3.5","14","6800","PIT@NJ","NJ","PIT","","","",""
"14876-8641","C","Alexander","Steen","3.19672131147541","61","6800","STL@MIN","STL","MIN","IR","Upper body","",""
"14876-8776","G","Ondrej","Pavelec","3.1714285714285717","21","6700","EDM@WPG","WPG","EDM","","","",""
"14876-8598","LW","Chris","Kunitz","2.546774193548387","62","6700","PIT@NJ","PIT","NJ","","","",""
"14876-42869","G","Matthew","Murray","4.76","5","6600","PIT@NJ","PIT","NJ","","","",""
"14876-62493","LW","Artemi","Panarin","3.471875","64","6600","DET@CHI","CHI","DET","","","",""
"14876-12410","LW","Taylor","Hall","3.7134328358208957","67","6600","EDM@WPG","EDM","WPG","","","",""
"14876-9025","RW","Jordan","Eberle","2.6925925925925926","54","6600","EDM@WPG","EDM","WPG","","","",""
"14876-14468","G","Anders","Nilsson","3.46923076923077","26","6600","STL@MIN","STL","MIN","","","",""
"14876-15271","G","Laurent","Brossoit","1.8000000000000007","2","6500","EDM@WPG","EDM","WPG","","","",""
"14876-12749","G","Jean-Francois","Berube","3.4000000000000004","3","6500","NYI@NYR","NYI","NYR","","","",""
"14876-8502","RW","Kyle","Okposo","3.1041666666666665","60","6500","NYI@NYR","NYI","NYR","","","",""
"14876-15321","C","Mark","Scheifele","3.4452830188679244","53","6400","EDM@WPG","WPG","EDM","","","",""
"14876-8259","LW","Andrew","Ladd","2.5314516129032256","62","6300","DET@CHI","CHI","DET","","","",""
"14876-8202","RW","Jason","Pominville","2.3984848484848484","66","6300","STL@MIN","MIN","STL","","","",""
"14876-21122","LW","Jaden","Schwartz","3.341176470588235","17","6300","STL@MIN","STL","MIN","","","",""
"14876-8651","D","Alex","Pietrangelo","2.075438596491228","57","6300","STL@MIN","STL","MIN","","","",""
"14876-58909","G","Connor","Hellebuyck","4.323076923076924","26","6300","EDM@WPG","WPG","EDM","","","",""
"14876-12448","C","Derek","Stepan","2.789090909090909","55","6300","NYI@NYR","NYR","NYI","","","",""
"14876-11294","G","Michael","Hutchinson","3.1","24","6200","EDM@WPG","WPG","EDM","","","",""
"14876-8906","G","Leland","Irving","0","0","6200","STL@MIN","MIN","STL","","","",""
"14876-8334","C","Pavel","Datsyuk","3.206122448979592","49","6200","DET@CHI","DET","CHI","","","",""
"14876-8643","C","David","Backes","2.465909090909091","66","6200","STL@MIN","STL","MIN","","","",""
"14876-8263","RW","Marian","Hossa","2.7981481481481487","54","6100","DET@CHI","CHI","DET","IR","Leg","",""
"14876-12628","RW","Mark","Stone","2.8375","64","5900","DAL@OTT","OTT","DAL","","","",""
"14876-8497","C","Frans","Nielsen","2.737096774193548","62","5900","NYI@NYR","NYI","NYR","","","",""
