Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,EMPTY
14949-8532,G,Henrik,Lundqvist,5.081481481,54,9700,PIT@NYR,NYR,PIT,,,
14949-8594,C,Sidney,Crosby,4.054545455,66,9700,PIT@NYR,PIT,NYR,,,
14949-8612,G,Marc-Andre,Fleury,5.012,50,9500,PIT@NYR,PIT,NYR,,,
14949-8883,G,Ben,Bishop,4.776470588,51,9300,TB@CLS,TB,CLS,,,
14949-8595,C,Evgeni,Malkin,4.185087719,57,9100,PIT@NYR,PIT,NYR,O,Upper body,
14949-15400,G,Petr,Mrazek,4.8,47,8500,TOR@DET,DET,TOR,,,
14949-54065,G,Joonas,Korpisalo,4.784615385,26,8500,TB@CLS,CLS,TB,,,
14949-8302,LW,Rick,Nash,3.356521739,46,8300,PIT@NYR,NYR,PIT,,,
14949-40050,G,Antti,Raanta,3.473684211,19,8300,PIT@NYR,NYR,PIT,,,
14949-54565,G,Andrei,Vasilevskii,4.568421053,19,8200,TB@CLS,TB,CLS,,,
14949-12163,G,Sergei,Bobrovsky,3.85,28,8000,TB@CLS,CLS,TB,,,
14949-8958,G,Jeff,Zatkoff,3.876923077,13,8000,PIT@NYR,PIT,NYR,,,
14949-8655,C,Steven,Stamkos,3.258823529,68,7900,TB@CLS,TB,CLS,,,
14949-8608,D,Kris,Letang,3.631578947,57,7700,PIT@NYR,PIT,NYR,,,
14949-8765,RW,Patric,Hornqvist,3.132835821,67,7300,PIT@NYR,PIT,NYR,,,
14949-8294,C,Derick,Brassard,3.196969697,66,7100,PIT@NYR,NYR,PIT,DTD,Illness,
14949-8797,LW,James,van Riemsdyk,3.315,40,7100,TOR@DET,TOR,DET,IR,Foot,
14949-8682,RW,Phil,Kessel,3.125373134,67,7100,PIT@NYR,PIT,NYR,,,
14949-8353,G,Jimmy,Howard,3.325925926,27,6900,TOR@DET,DET,TOR,,,
14949-13612,C,Tyler,Johnson,2.610909091,55,6800,TB@CLS,TB,CLS,,,
14949-43214,RW,Nikita,Kucherov,3.413636364,66,6700,TB@CLS,TB,CLS,,,
14949-8780,G,Jonathan,Bernier,3.006666667,30,6500,TOR@DET,TOR,DET,,,
14949-12448,C,Derek,Stepan,2.831034483,58,6500,PIT@NYR,NYR,PIT,,,
14949-14126,G,Allan,York,0,0,6400,TB@CLS,TB,CLS,,,
14949-15251,LW,Boone,Jenner,2.793382353,68,6400,TB@CLS,CLS,TB,,,
14949-40023,G,Anton,Forsberg,2.9,4,6400,TB@CLS,CLS,TB,,,
14949-43219,G,Kristers,Gudlevskis,5.2,1,6300,TB@CLS,TB,CLS,,,
14949-8598,LW,Chris,Kunitz,2.530769231,65,6300,PIT@NYR,PIT,NYR,,,
14949-9252,G,Alex,Stalock,2.030769231,13,6200,TOR@DET,TOR,DET,,,
14949-8741,C,Nazem,Kadri,2.820769231,65,6200,TOR@DET,TOR,DET,,,
14949-8233,G,Curtis,McElhinney,1.9,18,6200,TB@CLS,CLS,TB,,,
14949-14056,RW,Cam,Atkinson,2.9,67,6200,TB@CLS,CLS,TB,,,
14949-15315,LW,Ondrej,Palat,2.247916667,48,6100,TB@CLS,TB,CLS,,,
14949-8334,C,Pavel,Datsyuk,3.203846154,52,6100,TOR@DET,DET,TOR,,,
14949-8234,LW,Eric,Staal,2.315942029,69,5800,PIT@NYR,NYR,PIT,,,
14949-12253,RW,Mats,Zuccarello Aasen,2.997058824,68,5800,PIT@NYR,NYR,PIT,,,
14949-8539,RW,Nick,Foligno,2.355932203,59,5700,TB@CLS,CLS,TB,,,
14949-12411,D,Ryan,McDonagh,2.253225806,62,5700,PIT@NYR,NYR,PIT,,,
14949-15280,RW,Brandon,Saad,2.8359375,64,5700,TB@CLS,CLS,TB,,,
14949-8335,C,Henrik,Zetterberg,2.635294118,68,5700,TOR@DET,DET,TOR,,,
14949-8515,C,Brandon,Dubinsky,2.564754098,61,5600,TB@CLS,CLS,TB,,,
14949-8669,D,Victor,Hedman,2.571641791,67,5500,TB@CLS,TB,CLS,,,
14949-21523,LW,Alex,Killorn,2.185074627,67,5500,TB@CLS,TB,CLS,,,
14949-8520,RW,Ryan,Callahan,2.001492537,67,5400,TB@CLS,TB,CLS,,,
14949-13982,LW,Gustav,Nyquist,2.272058824,68,5400,TOR@DET,DET,TOR,,,
14949-8562,LW,Scott,Hartnell,2.727272727,66,5300,TB@CLS,CLS,TB,,,
14949-9079,D,Keith,Yandle,2.269117647,68,5200,PIT@NYR,NYR,PIT,,,
14949-21927,LW,Chris,Kreider,2.391538462,65,5200,PIT@NYR,NYR,PIT,,,
14949-9321,LW,Tomas,Tatar,2.459701493,67,5200,TOR@DET,DET,TOR,,,
14949-15360,LW,J.T.,Miller,2.266176471,68,5200,PIT@NYR,NYR,PIT,,,
14949-15357,LW,Carl,Hagelin,1.821538462,65,5100,PIT@NYR,PIT,NYR,,,
14949-62788,RW,Dylan,Larkin,3.018181818,66,4900,TOR@DET,DET,TOR,,,
14949-42869,G,Matthew,Murray,4.866666667,6,4800,PIT@NYR,PIT,NYR,,,
14949-8918,D,Anton,Stralman,2.152238806,67,4800,TB@CLS,TB,CLS,,,
14949-8726,D,Mike,Green,1.743333333,60,4600,TOR@DET,DET,TOR,,,
14949-15258,G,Garret,Sparks,3.4,10,4500,TOR@DET,TOR,DET,,,
14949-15313,C,Vladislav,Namestnikov,1.95,66,4400,TB@CLS,TB,CLS,,,
14949-12299,D,David,Savard,1.579411765,51,4400,TB@CLS,CLS,TB,,,
14949-8341,LW,Justin,Abdelkader,2.367647059,68,4400,TOR@DET,DET,TOR,,,
14949-8972,C,Tyler,Bozak,2.425531915,47,4300,TOR@DET,TOR,DET,IR,Head,
14949-41394,D,Seth,Jones,1.619402985,67,4300,TB@CLS,CLS,TB,,,
14949-8833,LW,Pierre,Parenteau,2.388709677,62,4300,TOR@DET,TOR,DET,,,
14949-8538,LW,Milan,Michalek,1.56,35,4200,TOR@DET,TOR,DET,,,
14949-8315,RW,Brad,Richards,2.198148148,54,4200,TOR@DET,DET,TOR,,,
14949-58990,LW,Kevin,Hayes,2.007575758,66,4200,PIT@NYR,NYR,PIT,,,
14949-8340,LW,Darren,Helm,1.8421875,64,4200,TOR@DET,DET,TOR,,,
14949-54743,C,Alexander,Wennberg,1.701785714,56,4100,TB@CLS,CLS,TB,,,
14949-42862,D,Olli,Maatta,1.742622951,61,4100,PIT@NYR,PIT,NYR,,,
14949-8484,RW,David,Clarkson,0.754347826,23,4100,TB@CLS,CLS,TB,DTD,Undisclosed,
14949-42417,LW,Jonathan,Drouin,1.505263158,19,4100,TB@CLS,TB,CLS,,,
14949-23053,RW,Jesper,Fast,1.432307692,65,4000,PIT@NYR,NYR,PIT,,,
14949-23054,RW,Leo,Komarov,2.253125,64,4000,TOR@DET,TOR,DET,,,
14949-8336,C,Valtteri,Filppula,1.573529412,68,4000,TB@CLS,TB,CLS,,,
14949-8746,LW,Matt,Calvert,1.455084746,59,3900,TB@CLS,CLS,TB,,,
14949-11122,C,Nick,Bonino,1.328125,48,3900,PIT@NYR,PIT,NYR,,,
14949-8642,RW,Brad,Boyes,1.684313725,51,3800,TOR@DET,TOR,DET,DTD,Undisclosed,
14949-39990,C,William,Karlsson,1.050746269,67,3800,TB@CLS,CLS,TB,,,
14949-15255,LW,Josh,Leivo,2.511111111,9,3700,TOR@DET,TOR,DET,,,
14949-14451,LW,Oscar,Lindberg,2.037692308,65,3700,PIT@NYR,NYR,PIT,,,
14949-8348,D,Niklas,Kronwall,1.183018868,53,3700,TOR@DET,DET,TOR,DTD,Lower body,
14949-12952,D,Jake,Gardiner,1.471875,64,3700,TOR@DET,TOR,DET,,,
14949-8526,D,Daniel,Girardi,1.333870968,62,3600,PIT@NYR,NYR,PIT,,,
14949-8236,C,Matt,Cullen,1.379104478,67,3600,PIT@NYR,PIT,NYR,,,
14949-21710,RW,J.T.,Brown,1.92265625,64,3500,TB@CLS,TB,CLS,,,
14949-8569,D,Matt,Carle,0.623529412,51,3500,TB@CLS,TB,CLS,,,
14949-37968,RW,Jonathan,Audy-Marchessault,1.644444444,36,3500,TB@CLS,TB,CLS,,,
14949-43139,RW,Andreas,Athanasiou,1.506521739,23,3500,TOR@DET,DET,TOR,,,
14949-8327,D,Trevor,Daley,1.344776119,67,3500,PIT@NYR,PIT,NYR,,,
14949-11254,D,Ian,Cole,0.649090909,55,3400,PIT@NYR,PIT,NYR,,,
14949-54477,RW,Bryan,Rust,1.23125,32,3400,PIT@NYR,PIT,NYR,,,
14949-8742,RW,Viktor,Stalberg,1.60483871,62,3400,PIT@NYR,NYR,PIT,,,
14949-39145,D,Dan,DeKeyser,1.3578125,64,3400,TOR@DET,DET,TOR,,,
14949-58879,LW,Scott,Wilson,1.483333333,24,3400,PIT@NYR,PIT,NYR,DTD,Undisclosed,
14949-62019,LW,Nikita,Soshnikov,2.171428571,7,3400,TOR@DET,TOR,DET,,,
14949-38947,D,Andrej,Sustr,0.911111111,63,3400,TB@CLS,TB,CLS,,,
14949-9145,D,Ben,Lovejoy,1.170175439,57,3400,PIT@NYR,PIT,NYR,IR,Upper body,
14949-37881,D,Morgan,Rielly,1.650746269,67,3400,TOR@DET,TOR,DET,,,
14949-12609,RW,Zach,Hyman,1.4,7,3300,TOR@DET,TOR,DET,,,
14949-59276,C,William,Nylander,1.814285714,7,3300,TOR@DET,TOR,DET,,,
14949-13913,LW,Tom,Kuhnhackl,0.974074074,27,3300,PIT@NYR,PIT,NYR,,,
14949-21932,RW,Beau,Bennett,1.636,25,3300,PIT@NYR,PIT,NYR,IR,Upper body,
14949-42863,D,Derrick,Pouliot,1.283333333,18,3300,PIT@NYR,PIT,NYR,,,
14949-12089,LW,Colin,Greening,1.734375,16,3300,TOR@DET,TOR,DET,,,
14949-8626,D,Dan,Boyle,1.483606557,61,3300,PIT@NYR,NYR,PIT,,,
14949-8139,RW,Joffrey,Lupul,1.626086957,46,3200,TOR@DET,TOR,DET,IR,Abdomen,
14949-8469,D,Kevin,Klein,1.257272727,55,3200,PIT@NYR,NYR,PIT,,,
14949-14155,C,Mark,Arcobello,1.41,20,3200,TOR@DET,TOR,DET,,,
14949-21921,C,Riley,Sheahan,1.114925373,67,3200,TOR@DET,DET,TOR,,,
14949-39676,LW,Cedric,Paquette,1.145454545,44,3200,TB@CLS,TB,CLS,DTD,Lower body,
14949-43133,C,Luke,Glendening,1.123880597,67,3200,TOR@DET,DET,TOR,,,
14949-23228,D,Justin,Schultz,0.78125,48,3200,PIT@NYR,PIT,NYR,,,
14949-23286,D,Ryan,Murray,1.248529412,68,3200,TB@CLS,CLS,TB,,,
14949-8528,D,Marc,Staal,0.99047619,63,3100,PIT@NYR,NYR,PIT,,,
14949-54522,D,Viktor,Loov,2.1,4,3100,TOR@DET,TOR,DET,DTD,Undisclosed,
14949-9061,C,Peter,Holland,1.767741935,62,3100,TOR@DET,TOR,DET,,,
14949-23052,RW,Teemu,Pulkkinen,1.777142857,35,3100,TOR@DET,DET,TOR,,,
14949-8753,RW,Tanner,Glass,0.811363636,44,3100,PIT@NYR,NYR,PIT,,,
14949-14184,D,Martin,Marincin,0.58,50,3100,TOR@DET,TOR,DET,,,
14949-40019,RW,Brendan,Leipsic,1.9,6,3100,TOR@DET,TOR,DET,,,
14949-8895,D,Justin,Falk,0.8525,20,3100,TB@CLS,CLS,TB,,,
14949-23063,RW,Marek,Hrivik,1.1,4,3000,PIT@NYR,NYR,PIT,,,
14949-21733,RW,Chris,Brown,0.4,1,3000,PIT@NYR,NYR,PIT,,,
14949-8810,RW,Michael,Grabner,0.998461538,65,3000,TOR@DET,TOR,DET,,,
14949-43206,LW,Joel,Vermin,0.566666667,6,3000,TB@CLS,TB,CLS,,,
14949-8517,LW,Brian,Boyle,1.15,62,3000,TB@CLS,TB,CLS,,,
14949-8287,D,Kyle,Quincey,1.275757576,33,3000,TOR@DET,DET,TOR,,,
14949-11405,RW,Ben,Smith,0.276923077,13,3000,TOR@DET,TOR,DET,,,
14949-8567,D,Braydon,Coburn,1.043181818,66,3000,TB@CLS,TB,CLS,,,
14949-42772,RW,Josh,Anderson,1.01,10,3000,TB@CLS,CLS,TB,,,
14949-12630,C,Michael,Chaput,2.483333333,3,3000,TB@CLS,CLS,TB,,,
14949-12631,LW,Tye,McGinn,0.2,2,3000,TB@CLS,TB,CLS,,,
14949-42777,LW,Kerby,Rychel,1.2984375,32,3000,TB@CLS,CLS,TB,,,
14949-66675,LW,Daniel,Sprong,0.788888889,18,3000,PIT@NYR,PIT,NYR,,,
14949-8309,D,Fedor,Tyutin,0.282142857,56,3000,TB@CLS,CLS,TB,,,
14949-8304,RW,Jared,Boll,0.464,25,3000,TB@CLS,CLS,TB,,,
14949-9276,LW,Richard,Clune,0.844444444,18,3000,TOR@DET,TOR,DET,,,
14949-62442,LW,Markus,Hannikainen,-0.2,4,3000,TB@CLS,CLS,TB,,,
14949-8191,D,Matt,Hunwick,0.726666667,60,3000,TOR@DET,TOR,DET,O,Abdomen,
14949-8796,D,Danny,Syvret,0,0,3000,PIT@NYR,NYR,PIT,,,
14949-12259,D,Brendan,Smith,1.254464286,56,3000,TOR@DET,DET,TOR,,,
14949-39643,D,Nikita,Nesterov,1.025555556,45,3000,TB@CLS,TB,CLS,,,
14949-8200,RW,Daniel,Paille,0.2,12,3000,PIT@NYR,NYR,PIT,,,
14949-12601,D,Dalton,Prout,0.869607843,51,3000,TB@CLS,CLS,TB,,,
14949-21926,D,Brian,Dumoulin,1.025373134,67,3000,PIT@NYR,PIT,NYR,,,
14949-8758,RW,Mike,Blunden,2.261111111,9,3000,TB@CLS,TB,CLS,,,
14949-15257,D,Stuart,Percy,-0.533333333,3,3000,TOR@DET,TOR,DET,,,
14949-15259,D,Frank,Corrado,0.5875,24,3000,TOR@DET,TOR,DET,,,
14949-8218,LW,Rene,Bourque,0.924444444,45,3000,TB@CLS,CLS,TB,,,
14949-58878,C,Oskar,Sundqvist,0.32,10,3000,PIT@NYR,PIT,NYR,O,Undisclosed,
14949-11147,D,T.J.,Brennan,0,1,3000,TOR@DET,TOR,DET,,,
14949-58877,RW,Conor,Sheary,0.820689655,29,3000,PIT@NYR,PIT,NYR,,,
14949-8719,C,Brooks,Laich,0.674626866,67,3000,TOR@DET,TOR,DET,IR,Foot,
14949-42844,D,Connor,Carrick,0.315,10,3000,TOR@DET,TOR,DET,,,
14949-21650,D,Xavier,Ouellet,0.42,5,3000,TOR@DET,DET,TOR,,,
14949-14477,C,Byron,Froese,0.62,50,3000,TOR@DET,TOR,DET,DTD,Hand,
14949-62294,D,Brady,Skjei,0.525,4,3000,PIT@NYR,NYR,PIT,,,
14949-9205,D,Jared,Cowen,0.762162162,37,3000,TOR@DET,TOR,DET,,,
14949-8410,D,Jack,Johnson,1.0275,60,3000,TB@CLS,CLS,TB,IR,Upper body,
14949-12765,RW,Matt,Taormina,0.4,1,3000,TB@CLS,TB,CLS,,,
14949-58686,RW,Kasperi,Kapanen,0.6,4,3000,TOR@DET,TOR,DET,,,
14949-12756,D,Dylan,McIlrath,1.296774194,31,3000,PIT@NYR,NYR,PIT,O,Knee,
14949-58685,RW,Josh,Archibald,0,1,3000,PIT@NYR,PIT,NYR,,,
14949-40030,D,Alexei,Marchenko,0.575,56,3000,TOR@DET,DET,TOR,,,
14949-38933,D,Slater,Koekkoek,0.983333333,6,3000,TB@CLS,TB,CLS,,,
14949-9390,C,Dominic,Moore,1.057575758,66,3000,PIT@NYR,NYR,PIT,,,
14949-9393,RW,Eric,Fehr,0.98375,40,3000,PIT@NYR,PIT,NYR,,,
14949-11305,D,Chris,Summers,0.333333333,3,3000,PIT@NYR,NYR,PIT,,,
14949-15374,D,Scott,Harrington,0.44,15,3000,TOR@DET,TOR,DET,,,
14949-15363,RW,Tomas,Jurco,0.724390244,41,3000,TOR@DET,DET,TOR,,,
14949-10824,LW,Mike,Angelidis,1.6625,4,3000,TB@CLS,TB,CLS,,,
14949-8877,D,Jason,Garrison,0.922413793,58,3000,TB@CLS,TB,CLS,,,
14949-8868,RW,Erik,Condra,0.786046512,43,3000,TB@CLS,TB,CLS,,,
14949-8597,RW,Craig,Adams,0,0,3000,PIT@NYR,PIT,NYR,,,
14949-8350,D,Jonathan,Ericsson,1.242105263,57,3000,TOR@DET,DET,TOR,,,
14949-59235,RW,Tomas,Nosek,-0.116666667,6,3000,TOR@DET,DET,TOR,,,
14949-8581,RW,Kevin,Porter,0.429268293,41,3000,PIT@NYR,PIT,NYR,IR,Ankle,
14949-53606,C,Yanni,Gourde,1.75,2,3000,TB@CLS,TB,CLS,,,
14949-11384,RW,Joakim,Andersson,0.582142857,28,3000,TOR@DET,DET,TOR,,,
14949-39240,D,Luke,Witkowski,0.35,4,3000,TB@CLS,TB,CLS,,,
14949-39239,C,Tanner,Richard,0,0,3000,TB@CLS,TB,CLS,,,
14949-8376,C,Gregory,Campbell,0.680882353,68,3000,TB@CLS,CLS,TB,,,
14949-12121,D,Cody,Goloubef,1.090625,32,3000,TB@CLS,CLS,TB,,,
14949-8863,LW,Tom,Sestito,0.25,2,3000,PIT@NYR,PIT,NYR,,,
14949-8854,RW,Eric,Tangradi,0,1,3000,TOR@DET,DET,TOR,,,
14949-8852,LW,Dustin,Jeffrey,1.357142857,7,3000,PIT@NYR,PIT,NYR,,,
