Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,EMPTY
14874-8718,LW,Alexander,Ovechkin,5.38852459,61,10600,WAS@BOS,WAS,BOS,,
14874-9416,G,Braden,Holtby,5.357692308,52,9400,WAS@BOS,WAS,BOS,,
14874-8883,G,Ben,Bishop,4.845833333,48,9300,CAR@TB,TB,CAR,,
14874-8193,G,Tuukka,Rask,4.764,50,9100,WAS@BOS,BOS,WAS,,
14874-8712,G,Roberto,Luongo,4.956,50,8900,FLA@ARI,FLA,ARI,,
14874-9278,G,Martin,Jones,4.666666667,54,8700,VAN@SJ,SJ,VAN,,
14874-9302,G,Michal,Neuvirth,4.966666667,30,8600,CLS@PHI,PHI,CLS,,
14874-8655,C,Steven,Stamkos,3.434375,64,8600,CAR@TB,TB,CAR,,
14874-8292,G,Craig,Anderson,4.892307692,52,8500,OTT@TOR,OTT,TOR,DTD,
14874-8212,G,Ryan,Miller,4.10952381,42,8300,VAN@SJ,VAN,SJ,,
14874-8763,LW,Brad,Marchand,4.253333333,60,8200,WAS@BOS,BOS,WAS,,
14874-54565,G,Andrei,Vasilevskii,4.588888889,18,8200,CAR@TB,TB,CAR,,
14874-54065,G,Joonas,Korpisalo,4.641666667,24,8200,CLS@PHI,CLS,PHI,,
14874-12163,G,Sergei,Bobrovsky,3.896296296,27,8000,CLS@PHI,CLS,PHI,IR,
14874-8556,C,Claude,Giroux,3.504166667,60,8000,CLS@PHI,PHI,CLS,,
14874-8615,RW,Joe,Pavelski,4.123809524,63,7900,VAN@SJ,SJ,VAN,,
14874-8312,G,Steve,Mason,4.172972973,37,7800,CLS@PHI,PHI,CLS,,
14874-8175,C,Patrice,Bergeron,4.067460317,63,7700,WAS@BOS,BOS,WAS,,
14874-12697,G,Philipp,Grubauer,3.9625,16,7700,WAS@BOS,WAS,BOS,,
14874-8698,LW,Daniel,Sedin,3.936507937,63,7600,VAN@SJ,VAN,SJ,,
14874-8303,RW,Jakub,Voracek,3.188333333,60,7500,CLS@PHI,PHI,CLS,O,
14874-8426,D,Brent,Burns,4.087301587,63,7500,VAN@SJ,SJ,VAN,,
14874-8404,RW,Wayne,Simmonds,3.299206349,63,7400,CLS@PHI,PHI,CLS,,
14874-8593,G,Al,Montoya,4.244444444,18,7400,FLA@ARI,FLA,ARI,,
14874-52475,C,Evgeny,Kuznetsov,3.995238095,63,7200,WAS@BOS,WAS,BOS,,
14874-62666,G,Matthew,O'Connor,3.2,1,7200,OTT@TOR,OTT,TOR,,
14874-39844,G,Mike,Condon,3.311627907,43,7200,MON@WPG,MON,WPG,,
14874-8797,LW,James,van Riemsdyk,3.315,40,7100,OTT@TOR,TOR,OTT,IR,
14874-8264,D,Dustin,Byfuglien,3.367460317,63,7100,MON@WPG,WPG,MON,,
14874-9269,C,Logan,Couture,3.254545455,33,7100,VAN@SJ,SJ,VAN,,
14874-11370,G,Eddie,Lack,3.511111111,27,7100,CAR@TB,CAR,TB,,
14874-8551,D,Erik,Karlsson,3.806153846,65,7100,OTT@TOR,OTT,TOR,,
14874-8672,G,Mike,Smith,3.672727273,22,7100,FLA@ARI,ARI,FLA,IR,
14874-11184,G,Richard,Bachman,5.6,1,7000,VAN@SJ,VAN,SJ,,
14874-12093,G,Ben,Scrivens,3.2,10,7000,MON@WPG,MON,WPG,,
14874-8182,RW,Blake,Wheeler,3.632539683,63,7000,MON@WPG,WPG,MON,,
14874-38930,G,Andrew,Hammond,2.973333333,15,6900,OTT@TOR,OTT,TOR,,
14874-8252,G,Cam,Ward,3.561904762,42,6900,CAR@TB,CAR,TB,,
14874-14483,G,Louis,Domingue,3.903225806,31,6900,FLA@ARI,ARI,FLA,,
14874-12283,G,Jacob,Markstrom,3.913043478,23,6800,VAN@SJ,VAN,SJ,,
14874-8441,LW,Max,Pacioretty,3.252307692,65,6800,MON@WPG,MON,WPG,,
14874-8776,G,Ondrej,Pavelec,3.02,20,6700,MON@WPG,WPG,MON,,
14874-8714,C,Nicklas,Backstrom,3.606666667,60,6700,WAS@BOS,WAS,BOS,,
14874-9266,LW,Brayden,Schenn,2.902459016,61,6700,CLS@PHI,PHI,CLS,DTD,
14874-8693,G,Jonas,Gustavsson,3.926315789,19,6700,WAS@BOS,BOS,WAS,,
14874-8614,C,Joe,Thornton,3.482539683,63,6700,VAN@SJ,SJ,VAN,,
14874-9052,G,James,Reimer,3.96875,32,6600,VAN@SJ,SJ,VAN,,
14874-8780,G,Jonathan,Bernier,3.020689655,29,6500,OTT@TOR,TOR,OTT,,
14874-15258,G,Garret,Sparks,4.114285714,7,6500,OTT@TOR,TOR,OTT,,
14874-15283,C,Vincent,Trocheck,2.734375,64,6500,FLA@ARI,FLA,ARI,,
14874-38243,G,Anthony,Stolarz,0,0,6500,CLS@PHI,PHI,CLS,,
14874-68599,G,Nathan,Schoenfeld,0,0,6500,FLA@ARI,ARI,FLA,,
14874-13612,C,Tyler,Johnson,2.482352941,51,6500,CAR@TB,TB,CAR,,
14874-66613,G,Niklas,Treutle,-1,2,6500,FLA@ARI,ARI,FLA,,
14874-43214,RW,Nikita,Kucherov,3.414516129,62,6500,CAR@TB,TB,CAR,,
14874-51834,G,Daniel,Altshuller,0,0,6500,CAR@TB,CAR,TB,,
14874-15321,C,Mark,Scheifele,3.269230769,52,6400,MON@WPG,WPG,MON,,
14874-14126,G,Allan,York,0,0,6400,CAR@TB,TB,CAR,,
14874-40023,G,Anton,Forsberg,2.9,4,6400,CLS@PHI,CLS,PHI,,
14874-12240,G,Edward,Pasquale,0,0,6400,MON@WPG,MON,WPG,,
14874-8233,G,Curtis,McElhinney,2.011764706,17,6400,CLS@PHI,CLS,PHI,,
14874-58909,G,Connor,Hellebuyck,4.323076923,26,6300,MON@WPG,WPG,MON,,
14874-43219,G,Kristers,Gudlevskis,5.2,1,6300,CAR@TB,TB,CAR,,
