Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,empty
14876-8516,C,Artem,Anisimov,2.156923077,65,4500,DET@CHI,CHI,DET,,,
14876-43139,C,Andreas,Athanasiou,1.473684211,19,3300,DET@CHI,DET,CHI,,,
14876-8643,C,David,Backes,2.465909091,66,6200,STL@MIN,STL,MIN,,,
14876-11122,C,Nick,Bonino,1.245555556,45,3900,PIT@NJ,PIT,NJ,,,
14876-8294,C,Derick,Brassard,3.13125,64,6900,NYI@NYR,NYR,NYI,,,
14876-8417,C,Kyle,Brodziak,0.465833333,60,3200,STL@MIN,STL,MIN,,,
14876-12646,C,Alex,Burmistrov,1.038095238,63,3300,EDM@WPG,WPG,EDM,,,
14876-9033,C,Casey,Cizikas,1.505645161,62,3900,NYI@NYR,NYI,NYR,,,
14876-8594,C,Sidney,Crosby,4.057142857,63,9500,PIT@NJ,PIT,NJ,,,
14876-8626,D,Dan,Boyle,1.512068966,58,3500,NYI@NYR,NYR,NYI,,,
14876-8210,D,Chris,Butler,0.32,5,3300,STL@MIN,STL,MIN,,,
14876-8264,D,Dustin,Byfuglien,3.39609375,64,7100,EDM@WPG,WPG,EDM,,,
14876-37883,D,Cody,Ceci,1.53559322,59,3800,DAL@OTT,OTT,DAL,,,
14876-11254,D,Ian,Cole,0.642307692,52,3500,PIT@NJ,PIT,NJ,,,
14876-8327,D,Trevor,Daley,1.34375,64,3800,PIT@NJ,PIT,NJ,,,
14876-15328,D,Brandon,Davidson,1.276,50,3600,EDM@WPG,EDM,WPG,,,
14876-9040,D,Calvin,de Haan,1.171929825,57,3400,NYI@NYR,NYI,NYR,DTD,Lower body,
14876-39145,D,Dan,DeKeyser,1.361666667,60,3500,DET@CHI,DET,CHI,,,
14876-9270,D,Jason,Demers,2.130508475,59,4100,DAL@OTT,DAL,OTT,,,
14876-9112,G,Jake,Allen,4.736842105,38,9000,STL@MIN,STL,MIN,,,
14876-8292,G,Craig,Anderson,4.892307692,52,8500,DAL@OTT,OTT,DAL,DTD,Lower body,
14876-12749,G,Jean-Francois,Berube,3.4,3,6500,NYI@NYR,NYI,NYR,,,
14876-15271,G,Laurent,Brossoit,1.8,2,6500,EDM@WPG,EDM,WPG,,,
14876-8553,G,Brian,Elliott,4.676470588,34,8800,STL@MIN,STL,MIN,IR,Lower body,
14876-8612,G,Marc-Andre,Fleury,5.033333333,48,9800,PIT@NJ,PIT,NJ,,,
14876-8633,G,Thomas,Greiss,5.457142857,28,9000,NYI@NYR,NYI,NYR,,,
14876-8453,G,Jaroslav,Halak,4.388235294,34,8300,NYI@NYR,NYI,NYR,,,
14876-38930,G,Andrew,Hammond,3.3625,16,6900,DAL@OTT,OTT,DAL,,,
14876-58909,G,Connor,Hellebuyck,4.323076923,26,6300,EDM@WPG,WPG,EDM,,,
14876-58883,LW,Robby,Fabbri,1.854166667,60,4300,STL@MIN,STL,MIN,,,
14876-23928,LW,Radek,Faksa,1.186206897,29,3100,DAL@OTT,DAL,OTT,,,
14876-42866,LW,Bobby,Farnham,1.40875,40,3200,PIT@NJ,NJ,PIT,,,
14876-8674,LW,Mikhail,Grabovski,1.84122807,57,4800,NYI@NYR,NYI,NYR,IR,Upper body,
14876-15357,LW,Carl,Hagelin,1.75625,64,5100,PIT@NJ,PIT,NJ,,,
14876-12410,LW,Taylor,Hall,3.713432836,67,6600,EDM@WPG,EDM,WPG,,,
14876-8340,LW,Darren,Helm,1.631666667,60,4200,DET@CHI,DET,CHI,,,
14876-9259,LW,Mike,Hoffman,3.217741935,62,5300,DAL@OTT,OTT,DAL,,,
14876-60686,LW,Mattias,Janmark,1.86969697,66,3700,DAL@OTT,DAL,OTT,,,
14876-62856,LW,Sergey,Kalinin,0.925,62,3100,PIT@NJ,NJ,PIT,,,
14876-21927,LW,Chris,Kreider,2.37016129,62,5600,NYI@NYR,NYR,NYI,,,
14876-13913,LW,Tom,Kuhnhackl,0.816666667,24,3300,PIT@NJ,PIT,NJ,,,
14876-9002,RW,Richard,Panik,1.24,20,3100,DET@CHI,CHI,DET,,,
14876-10929,RW,Anthony,Peluso,0.925714286,35,3000,EDM@WPG,WPG,EDM,O,Upper body,
14876-42977,RW,Nicolas,Petan,0.378571429,14,3000,EDM@WPG,WPG,EDM,,,
14876-8202,RW,Jason,Pominville,2.398484848,66,6300,STL@MIN,MIN,STL,,,
14876-8581,RW,Kevin,Porter,0.429268293,41,3000,PIT@NJ,PIT,NJ,O,Ankle,
14876-23052,RW,Teemu,Pulkkinen,1.925,32,3200,DET@CHI,DET,CHI,,,
14876-15341,RW,Ty,Rattie,1.876923077,13,3500,STL@MIN,STL,MIN,,,
14876-8742,RW,Viktor,Stalberg,1.591525424,59,3400,NYI@NYR,NYR,NYI,,,
14876-12628,RW,Mark,Stone,2.8375,64,5900,DAL@OTT,OTT,DAL,,,
14876-15386,RW,Ryan,Strome,1.923529412,51,4800,NYI@NYR,NYI,NYR,,,
