Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
14823-12417,C,Tyler,Seguin,4.561904762,63,7600,DET@DAL,DAL,DET,,
14823-11284,C,Cody,Eakin,1.779365079,63,3600,DET@DAL,DAL,DET,,
14823-8376,C,Gregory,Campbell,0.600793651,63,3000,CLS@NYR,CLS,NYR,,
14823-8655,C,Steven,Stamkos,3.464516129,62,8600,TB@TOR,TB,TOR,,
14823-8436,C,Tomas,Plekanec,2.864516129,62,6100,MON@SJ,MON,SJ,,
14823-14457,D,John,Klingberg,3.050793651,63,5800,DET@DAL,DAL,DET,,
14823-8611,D,Alex,Goligoski,1.787301587,63,3700,DET@DAL,DAL,DET,,
14823-8487,D,Johnny,Oduya,1.287301587,63,3300,DET@DAL,DAL,DET,,
14823-23286,D,Ryan,Murray,1.263492063,63,3400,CLS@NYR,CLS,NYR,,
14823-12244,D,Oliver,Ekman-Larsson,3.401612903,62,6300,ARI@PIT,ARI,PIT,,
14823-9107,D,P.K.,Subban,3.234677419,62,6100,MON@SJ,MON,SJ,,
14823-8612,G,Marc-Andre,Fleury,4.933333333,45,9200,ARI@PIT,PIT,ARI,,
14823-15400,G,Petr,Mrazek,5.004651163,43,9100,DET@DAL,DET,DAL,,
14823-8335,LW,Henrik,Zetterberg,2.670967742,62,6000,DET@DAL,DET,DAL,,
14823-41592,LW,Max,Domi,2.641129032,62,5700,ARI@PIT,ARI,PIT,,
14823-23233,LW,Alex,Galchenyuk,2.491935484,62,4900,MON@SJ,MON,SJ,,
14823-15360,LW,J.T.,Miller,2.477419355,62,6000,CLS@NYR,NYR,CLS,,
14823-8258,RW,Patrick,Sharp,3.169047619,63,6000,DET@DAL,DAL,DET,,
14823-12253,RW,Mats,Zuccarello Aasen,2.919354839,62,5500,CLS@NYR,NYR,CLS,,
14823-15280,RW,Brandon,Saad,2.875806452,62,5800,CLS@NYR,CLS,NYR,,
14823-14056,RW,Cam,Atkinson,2.709677419,62,5500,CLS@NYR,CLS,NYR,,
